Unnamed: 0,Max_Enhancement_from_char_curv,Time_to_Peak_from_char_curv,Uptake_rate_from_char_curv,Washout_rate_from_char_curv,Maximum_variance_of_enhancement_Tumor,Peak_location_of_enhancement_variance_dynamics_Tumor,Enhancement_variance_increasing_rate_Tumor,Enhancement_variance_decreasing_rate_Tumor,Grouping_based_variance_of_peak_enhancement_slope_3D_tumor_Group_1,Grouping_based_variance_of_peak_enhancement_slope_3D_tumor_Group_2,Grouping_based_variance_of_peak_enhancement_slope_3D_tumor_Group_3,Grouping_based_variance_of_washin_slope_3D_tumor_Group_1,Grouping_based_variance_of_washin_slope_3D_tumor_Group_2,Grouping_based_variance_of_washin_slope_3D_tumor_Group_3,Grouping_based_variance_of_washout_slope_3D_tumor_Group_1,Grouping_based_variance_of_washout_slope_3D_tumor_Group_2,Grouping_based_variance_of_peak_enhancement_slope_2D_tumorSlice_Group_1,Grouping_based_variance_of_peak_enhancement_slope_2D_tumorSlice_Group_2,Grouping_based_variance_of_peak_enhancement_slope_2D_tumorSlice_Group_3,Grouping_based_variance_of_washin_slope_2D_tumorSlice_Group_1,Grouping_based_variance_of_washin_slope_2D_tumorSlice_Group_2,Grouping_based_variance_of_washin_slope_2D_tumorSlice_Group_3,Grouping_based_variance_of_washout_slope_2D_tumorSlice_Group_1,Grouping_based_variance_of_washout_slope_2D_tumorSlice_Group_2,Variance_of_Uptake_Tumor,Change_in_variance_of_Uptake_Tumor,SER_map_std_dev_tumor,SER_map_skewness_tumor,SER_map_kurtosis_tumor,PE_map_std_dev_tumor,PE_map_skewness_tumor,PE_map_kurtosis_tumor,WashinRate_map_std_dev_tumor,WashinRate_map_skewness_tumor,WashinRate_map_kurtosis_tumor
-1.6493012797473932,0.08263012083074166,-0.07785254391748377,-0.20053729838541018,-0.40604911050488707,-0.15004398469245658,-0.5399905246833697,-0.18006316190199495,-0.0704331415401324,-0.18072835716443703,-0.10186052760513577,-0.10783953478155078,-0.18072835716443703,-0.0891697342647813,-0.11753453797392757,-0.15697644046212222,-0.05382947693087763,-0.11183415719526345,-0.08983771364184076,-0.04615231575658507,-0.11183415719526345,-0.104440083948207,-0.0486982574995597,-0.0848714847957675,-0.08866115939846675,-0.8910161373997119,1.0345991197468372,-0.4755834704037961,1.0477227966099278,-0.06344353822567407,-0.34206725643260183,-0.4862605936522014,-0.2355003537635069,-0.8356841925760274,-0.34093386668704523,-0.15887949193493756
-1.6455404865765455,-0.47048703993498503,-1.1300783328022257,0.37151279762942924,-0.3237298616947988,-0.15145261600946647,-0.5399905246833697,-0.1821016989900021,-0.07024524569987262,-0.18384439018681895,-0.10260947263754618,-0.10870762407965642,-0.18384439018681895,-0.08993177493950436,-0.11905598950359599,-0.15757060254672742,-0.05387545159650054,-0.11694412453107694,-0.09183265553770831,-0.04627254066136794,-0.11694412453107694,-0.10883474003571186,-0.04891049164828444,-0.08539160696681034,-0.08917214054168952,-0.06106237190914153,-0.7038443487380063,-0.5334203387347847,-0.030755291710321174,-0.3601917183457433,-0.4179192798140616,-0.47917897624596806,-0.23478057404436176,1.9137152243541053,-0.9860341975226308,-0.8455492202083297
-1.641779693405698,0.42361281704936476,-0.07785254391748377,-0.0266295669800141,3.3238423804395882,-0.14667187468733542,-0.5399905246833697,-0.17518312606346817,-0.05768035692114711,-0.17261399991865947,-0.0973229671547944,-0.10833694518076989,-0.17261399991865947,-0.08455283251960752,-0.11840632134277723,-0.13048419893953722,-0.03156371356551765,-0.10251377303388232,-0.08721696365344096,-0.04619084756342799,-0.10251377303388232,-0.09866683565751384,-0.04876627805851879,-0.03662514732015747,0.040820500559004914,0.11944650017436173,-0.49844737441108317,0.05125011408419643,-0.5696698792293924,-0.27201952197160306,-0.21690709848158718,-0.18716338285195003,-0.19813583075936717,1.236779243260592,0.29693367384060965,-0.3593151632151794
-1.6380189002348504,1.8122295768565584,-1.1300783328022257,2.69997152981729,-0.5546803435029478,-0.07040590370654695,0.3170586566948223,-0.10411065996080063,-0.07049280427809272,-0.12805549309810418,-0.09012981135812746,-0.035161946892956236,-0.12805549309810418,-0.07723390114351093,0.009843402875031177,-0.1539739420842537,-0.046549964637084024,-0.10067088426468711,-0.08307705534051366,0.01677052740808437,-0.10067088426468711,-0.08954703457117383,0.06238002597683178,-0.08416175007744874,-0.0827458866980903,-0.15686077608836316,-0.6059754925031458,-0.5122531009172819,0.14563972589273189,-0.341649157879196,0.4572529282740715,0.1769782040630295,-0.14748574853824484,-0.8568765299769733,-0.7664178760527708,-0.43434846533190224
-1.634258107064003,2.3187483006283847,-0.07785254391748377,0.9399259688580123,7.308469884083863,-0.09966328223501167,-0.5399905246833697,-0.10715343084663105,0.05416382218471609,-0.14073720361200548,-0.026748205967549267,-0.10695820096193376,-0.14073720361200548,-0.012744039742841155,-0.11598987351264343,-0.07838050974934434,0.0801218108733971,-0.05662838547352946,-0.06916569663901007,-0.04609406647491103,-0.05662838547352946,-0.05890171235418731,-0.04859542949788862,-0.08101216975063796,0.06175691643973138,-0.7770446161780239,1.4974785971366376,-0.1410640457520589,-0.32413454450707235,-0.3064684985075947,0.1871084737074254,0.004106201925703127,-0.16640371557273717,-0.8707802795900037,0.3577716544951369,-0.22205623709692263
-1.6304973138931556,1.84005579163442,-1.1300783328022257,2.7283553389623405,-0.04189969254114331,-0.1456765737379247,0.3170586566948223,-0.17673058572146702,-0.07049280427809272,-0.1812535467427684,-0.10178779010669418,-0.10210553176519167,-0.1812535467427684,-0.08909572491831202,-0.10748487179396145,-0.155291907800219,-0.05370077971620924,-0.11212659322109107,-0.08981185785290534,-0.04502208700192597,-0.11212659322109107,-0.10438312624909922,-0.04670305410935937,-0.08165994690559136,-0.08798453781313724,2.8195048986813895,-1.3144895174698379,-0.47448060177782225,0.44687684152772866,0.27763542407117253,-0.3145983663738408,-0.10286130770775097,-0.08984596422481116,-0.760396867001799,2.613948068573624,2.278236083608604
-1.626736520722308,-0.7133613928395499,-0.07785254391748377,-0.6065082754920836,-0.42080120065332144,-0.1454156086402192,0.3170586566948223,-0.176478810813477,-0.06694251936705226,-0.18403516725018174,-0.09502792942328377,-0.10865526483549191,-0.18403516725018174,-0.08730077156769604,-0.11913140837905849,-0.15773378803643895,-0.05353292023485917,-0.11694252985622598,-0.07261652013029064,-0.046281573522915405,-0.11694252985622598,-0.0910502259596638,-0.048926437443247116,-0.08583893141692842,-0.08458559001030592,-0.49931707192152885,-0.19278804273570768,-0.39422973642337017,0.2656077848883575,-0.3394574537497692,-0.3604920582227936,-0.42343467365620224,-0.23352958149409916,-0.06303703537993421,-0.47311579476603927,-0.9807731144715063
-1.6229757275514605,-0.6188849005029201,-0.07785254391748377,-0.5583234478289554,-0.42047358094984727,-0.11460113749806686,1.1741078380730143,-0.15573869431892504,-0.07049280427809272,-0.12397533942429166,-0.0834004952075082,-0.08172184973169437,-0.12397533942429166,-0.07246073047364988,-0.0925258719502786,-0.1206642343962667,-0.05023305512219612,-0.08256821555327566,-0.07698352549257527,-0.04478983194538643,-0.08256821555327566,-0.08036642361721705,-0.0474451581798306,-0.05167682975436448,-0.07718090065038713,-0.6411522827711859,1.1262435720219,0.8791804020830639,0.7268712507352705,-0.18841122020409437,-0.00974139273349119,-0.2991765160818833,-0.22343910479920462,0.2506090430399102,0.2812593224367009,-0.5392035103812476
-1.6154541412097654,-0.9680295261186249,-0.07785254391748377,-0.7363939201624905,-0.5578029454694449,-0.15100135138978674,1.1741078380730143,-0.18207744780737353,-0.07049280427809272,-0.1831982081984316,-0.10276577844318766,-0.10831878166247083,-0.1831982081984316,-0.09026599247679103,-0.11874678362159614,-0.15763610834177888,-0.053941774873169625,-0.11629967099124922,-0.0909858839813665,-0.0461443565163747,-0.11629967099124922,-0.10793996389698743,-0.0487901828067614,-0.08564357517368561,-0.08897470318904215,-0.686662987240649,0.37985323350040423,-0.3599718930737116,2.092035602800558,0.6166780454569716,-0.4165266903631584,-0.42702655991022764,-0.22869647419862324,-0.6346813530754953,-1.2996766859010829,1.3775281781150879
-1.611693348038918,0.8539959178307245,-1.1300783328022257,1.722536348234792,1.9352041270150637,-0.08768274649806902,-1.3970397060615618,0.0030752758194830723,-0.013405011647486597,0.27580688766948347,-0.08431499097422757,-0.10797118075612093,0.27580688766948347,-0.0713174059976932,-0.1177652665059133,0.07829524279735152,-0.027097936145957194,-0.08068602878783872,-0.08332064301382855,-0.04622764837868919,-0.08068602878783872,-0.09008363368395601,-0.04883124288185088,0.018137830435651325,-0.04313471115615187,-0.06806075240791642,-0.37655681050609674,0.5669795156823713,1.573237077161001,0.1882585698415105,0.48550465335970955,1.5307149982078412,0.5200251231799501,0.6917040400258782,-0.7860549140892593,-0.519334366364716
