feature,importance_mean,importance_std,dataset,model
PE_map_Correlation2_tumor,0.0,0.0,CL_UNCORR,SVM
SER_map_sum_entropy_tumor,0.0,0.0,CL_UNCORR,SVM
PE_map_sum_entropy_tumor,0.0,0.0,CL_UNCORR,SVM
Diff_entropy_Tumor,0.0,0.0,CL_UNCORR,SVM
SER_map_kurtosis_tumor,0.0,0.0,CL_UNCORR,SVM
PE_map_sum_entropy_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
Grouping_based_variance_of_washout_slope_3D_tumor_Group_1,0.0,0.0,CL_UNCORR,SVM
Grouping_based_variance_of_washin_slope_2D_tumorSlice_Group_2,0.0,0.0,CL_UNCORR,SVM
Enhancement_variance_increasing_rate_Tumor,0.0,0.0,CL_UNCORR,SVM
Grouping_based_proportion_of_tumor_voxels_3D_tumor_Group_2,0.0,0.0,CL_UNCORR,SVM
Median_Elongation_Tumor,0.0,0.0,CL_UNCORR,SVM
Max_Enhancement_from_char_curv,0.0,0.0,CL_UNCORR,SVM
Grouping_based_variance_of_washin_slope_3D_tumor_Group_3,0.0,0.0,CL_UNCORR,SVM
Grouping_based_variance_of_washin_slope_2D_tumorSlice_Group_3,0.0,0.0,CL_UNCORR,SVM
Enhancement_variance_decreasing_rate_Tumor,0.0,0.0,CL_UNCORR,SVM
PE_map_inverse_difference_normalized_tumor,0.0,0.0,CL_UNCORR,SVM
Grouping_based_proportion_of_tumor_voxels_3D_tumor_Group_3,0.0,0.0,CL_UNCORR,SVM
Grouping_based_mean_of_peak_enhancement_slope_3D_tumor_Group_1,0.0,0.0,CL_UNCORR,SVM
Time_to_Peak_from_char_curv,0.0,0.0,CL_UNCORR,SVM
Grouping_based_proportion_of_tumor_voxels_3D_tumor_Group_1,0.0,0.0,CL_UNCORR,SVM
SER_map_inverse_difference_normalized_tumor,0.0,0.0,CL_UNCORR,SVM
PE_map_Correlation1_tumor,0.0,0.0,CL_UNCORR,SVM
Median_Euler_No_Tumor,0.0,0.0,CL_UNCORR,SVM
Grouping_based_variance_of_washout_slope_3D_tumor_Group_2,0.0,0.0,CL_UNCORR,SVM
Grouping_based_variance_of_washout_slope_3D_tissue_T1_Group_2,0.0,0.0,CL_UNCORR,SVM
Grouping_based_variance_of_washout_slope_3D_tissue_PostCon_Group_2,0.0,0.0,CL_UNCORR,SVM
Grouping_based_proportion_of_3D_tissue_T1_Group_1,0.0,0.0,CL_UNCORR,SVM
Grouping_based_proportion_of_3D_tissue_PostCon_Group_1,0.0,0.0,CL_UNCORR,SVM
Grouping_based_variance_of_washout_slope_3D_tissue_PostCon_Group_1,0.0,0.0,CL_UNCORR,SVM
breastDensity_PostCon,0.0,0.0,CL_UNCORR,SVM
PE_map_sum_entropy_tissue_T1,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_sum_entropy_tissue_T1,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_Autocorrelation_tissue_T1,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_Autocorrelation_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_sum_entropy_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
Grouping_based_variance_of_washin_slope_3D_tumor_Group_2,0.0,0.0,CL_UNCORR,SVM
Variance_of_Uptake_Tumor,0.0,0.0,CL_UNCORR,SVM
Grouping_based_mean_of_washout_slope_3D_tumor_Group_1,0.0,0.0,CL_UNCORR,SVM
Grouping_based_mean_of_peak_enhancement_slope_3D_tumor_Group_2,0.0,0.0,CL_UNCORR,SVM
PE_map_difference_entropy_tumor,0.0,0.0,CL_UNCORR,SVM
PE_map_Autocorrelation_tumor,0.0,0.0,CL_UNCORR,SVM
Grouping_based_proportion_of_3D_tissue_PostCon_Group_2,0.0,0.0,CL_UNCORR,SVM
PE_map_Cluster_Shade_tumor,0.0,0.0,CL_UNCORR,SVM
PE_map_Dissimilarity_tumor,0.0,0.0,CL_UNCORR,SVM
globalMoransIEnhancementVarianceMap_Tumor,0.0,0.0,CL_UNCORR,SVM
globalMoransISERMap_Tumor,0.0,0.0,CL_UNCORR,SVM
SER_Partial_tumor_vol_cu_mm,0.0,0.0,CL_UNCORR,SVM
SER_map_inverse_difference_moment_normalized_tumor,0.0,0.0,CL_UNCORR,SVM
Peak_PE_tumor,0.0,0.0,CL_UNCORR,SVM
SER_map_Correlation1_tumor,0.0,0.0,CL_UNCORR,SVM
Grouping_based_proportion_of_3D_tissue_PostCon_Group_3,0.0,0.0,CL_UNCORR,SVM
SER_map_Cluster_Shade_tumor,0.0,0.0,CL_UNCORR,SVM
SER_map_Dissimilarity_tumor,0.0,0.0,CL_UNCORR,SVM
SER_map_difference_entropy_tumor,0.0,0.0,CL_UNCORR,SVM
Grouping_based_mean_of_peak_enhancement_slope_2D_tumorSlice_Group_2,0.0,0.0,CL_UNCORR,SVM
Grouping_based_mean_of_washout_slope_2D_tumorSlice_Group_1,0.0,0.0,CL_UNCORR,SVM
Grouping_based_mean_of_peak_enhancement_slope_3D_tumor_Group_3,0.0,0.0,CL_UNCORR,SVM
Peak_location_of_enhancement_variance_dynamics_Tumor,0.0,0.0,CL_UNCORR,SVM
Grouping_based_mean_of_peak_enhancement_slope_2D_tumorSlice_Group_3,0.0,0.0,CL_UNCORR,SVM
Grouping_based_mean_of_washout_slope_2D_tumorSlice_Group_2,0.0,0.0,CL_UNCORR,SVM
Grouping_based_mean_of_peak_enhancement_slope_2D_tumorSlice_Group_1,0.0,0.0,CL_UNCORR,SVM
Grouping_based_variance_of_peak_enhancement_slope_2D_tumorSlice_Group_1,0.0,0.0,CL_UNCORR,SVM
Grouping_based_variance_of_peak_enhancement_slope_3D_tumor_Group_1,0.0,0.0,CL_UNCORR,SVM
Ratio_Tissue_vol_enhancing_more_than_100percent_from_PostCon_to_Tissue_Vol,0.0,0.0,CL_UNCORR,SVM
SER_Washout_tumor_vol_cu_mm,0.0,0.0,CL_UNCORR,SVM
PE_map_inverse_difference_moment_normalized_tumor,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_std_dev_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
PC1_Tumor_Enhancement,0.0019522776572667767,0.000433839479392617,PC1,SVM
PC1_FGT_Enhancement_Texture,0.0019522776572667767,0.000433839479392617,PC1,SVM
PC1_Tumor_Enhancement_Variation,0.0015184381778741596,0.000719441386194217,PC1,SVM
PC1_FGT_Enhancement_Variation,0.0009761388286333883,0.00032537960954446275,PC1,SVM
PC1_Tumor_Enhancement_Texture,0.000867678958785234,0.0008116393463717732,PC1,SVM
PC1_FGT_Enhancement,0.000867678958785234,0.0008116393463717732,PC1,SVM
PC1_Combining_Tumor_and_FGT_Enhancement,0.0007592190889370798,0.0004970255634442254,PC1,SVM
PC1_Tumor_Size_and_Morphology,0.0007592190889370798,0.0004970255634442254,PC1,SVM
PC1_Breast_and_FGT_Volume_Features,0.0002169197396963085,0.000433839479392617,PC1,SVM
PC1_Tumor_Enhancement_Spatial_Heterogeneity,0.0,0.0,PC1,SVM
BreastVol,0.01062906724511926,0.0020464167314656434,VARS_IN_PC1,SVM
F1_DT_T1NFS..T11.0.1.T12.0.5.,0.0,0.0,VARS_IN_PC1,SVM
Median_solidity_Tumor,0.0,0.0,VARS_IN_PC1,SVM
