feature,importance_mean,importance_std,dataset,model
Grouping_based_proportion_of_3D_tissue_PostCon_Group_1,0.0,0.0,CL_UNCORR,SVM
Grouping_based_variance_of_washout_slope_3D_tissue_PostCon_Group_1,0.0,0.0,CL_UNCORR,SVM
breastDensity_PostCon,0.0,0.0,CL_UNCORR,SVM
PE_map_sum_entropy_tissue_T1,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_sum_entropy_tissue_T1,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_Autocorrelation_tissue_T1,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_Autocorrelation_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_sum_entropy_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
Grouping_based_variance_of_washin_slope_3D_tumor_Group_2,0.0,0.0,CL_UNCORR,SVM
Variance_of_Uptake_Tumor,0.0,0.0,CL_UNCORR,SVM
Grouping_based_mean_of_washout_slope_3D_tumor_Group_1,0.0,0.0,CL_UNCORR,SVM
Grouping_based_mean_of_peak_enhancement_slope_3D_tumor_Group_2,0.0,0.0,CL_UNCORR,SVM
PE_map_difference_entropy_tumor,0.0,0.0,CL_UNCORR,SVM
PE_map_Autocorrelation_tumor,0.0,0.0,CL_UNCORR,SVM
Grouping_based_proportion_of_3D_tissue_PostCon_Group_2,0.0,0.0,CL_UNCORR,SVM
PE_map_Cluster_Shade_tumor,0.0,0.0,CL_UNCORR,SVM
PE_map_Dissimilarity_tumor,0.0,0.0,CL_UNCORR,SVM
globalMoransIEnhancementVarianceMap_Tumor,0.0,0.0,CL_UNCORR,SVM
globalMoransISERMap_Tumor,0.0,0.0,CL_UNCORR,SVM
SER_Partial_tumor_vol_cu_mm,0.0,0.0,CL_UNCORR,SVM
SER_map_inverse_difference_moment_normalized_tumor,0.0,0.0,CL_UNCORR,SVM
Peak_PE_tumor,0.0,0.0,CL_UNCORR,SVM
SER_map_Correlation1_tumor,0.0,0.0,CL_UNCORR,SVM
Grouping_based_proportion_of_3D_tissue_PostCon_Group_3,0.0,0.0,CL_UNCORR,SVM
SER_map_Cluster_Shade_tumor,0.0,0.0,CL_UNCORR,SVM
SER_map_Dissimilarity_tumor,0.0,0.0,CL_UNCORR,SVM
SER_map_difference_entropy_tumor,0.0,0.0,CL_UNCORR,SVM
Grouping_based_mean_of_peak_enhancement_slope_2D_tumorSlice_Group_2,0.0,0.0,CL_UNCORR,SVM
Grouping_based_mean_of_washout_slope_2D_tumorSlice_Group_1,0.0,0.0,CL_UNCORR,SVM
Grouping_based_mean_of_peak_enhancement_slope_3D_tumor_Group_3,0.0,0.0,CL_UNCORR,SVM
Peak_location_of_enhancement_variance_dynamics_Tumor,0.0,0.0,CL_UNCORR,SVM
Grouping_based_mean_of_peak_enhancement_slope_2D_tumorSlice_Group_3,0.0,0.0,CL_UNCORR,SVM
Grouping_based_mean_of_washout_slope_2D_tumorSlice_Group_2,0.0,0.0,CL_UNCORR,SVM
Grouping_based_mean_of_peak_enhancement_slope_2D_tumorSlice_Group_1,0.0,0.0,CL_UNCORR,SVM
Grouping_based_variance_of_peak_enhancement_slope_2D_tumorSlice_Group_1,0.0,0.0,CL_UNCORR,SVM
Grouping_based_variance_of_peak_enhancement_slope_3D_tumor_Group_1,0.0,0.0,CL_UNCORR,SVM
Ratio_Tissue_vol_enhancing_more_than_100percent_from_PostCon_to_Tissue_Vol,0.0,0.0,CL_UNCORR,SVM
SER_Washout_tumor_vol_cu_mm,0.0,0.0,CL_UNCORR,SVM
PE_map_inverse_difference_moment_normalized_tumor,0.0,0.0,CL_UNCORR,SVM
WashinRate_map_std_dev_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
PC1_Combining_Tumor_and_FGT_Enhancement,0.0010845986984815426,0.0,PC1,SVM
PC1_Tumor_Enhancement,0.0010845986984815426,0.0,PC1,SVM
PC1_Tumor_Enhancement_Variation,0.0009761388286333883,0.0003253796095444628,PC1,SVM
PC1_Tumor_Enhancement_Texture,0.000867678958785234,0.000433839479392617,PC1,SVM
PC1_FGT_Enhancement_Texture,0.0006507592190889255,0.0005313426773933047,PC1,SVM
PC1_FGT_Enhancement_Variation,0.000433839479392617,0.0005313426773933047,PC1,SVM
PC1_FGT_Enhancement,0.00032537960954446275,0.0004970255634442254,PC1,SVM
PC1_Tumor_Enhancement_Spatial_Heterogeneity,0.0002169197396963085,0.000433839479392617,PC1,SVM
PC1_Tumor_Size_and_Morphology,0.00010845986984815425,0.0003253796095444628,PC1,SVM
PC1_Breast_and_FGT_Volume_Features,0.0,0.0,PC1,SVM
"F1_DT_POSTCON (T11=0.05,T12=0.5)",0.0,0.0,ALL_IMG,SVM
WashinRate_map_Max_Probability_tumor,0.0,0.0,ALL_IMG,SVM
WashinRate_map_kurtosis_tumor,0.0,0.0,ALL_IMG,SVM
WashinRate_map_skewness_tumor,0.0,0.0,ALL_IMG,SVM
WashinRate_map_std_dev_tumor,0.0,0.0,ALL_IMG,SVM
WashinRate_map_mean_tumor,0.0,0.0,ALL_IMG,SVM
WashinRate_map_inverse_difference_moment_normalized_tumor,0.0,0.0,ALL_IMG,SVM
