predictor,dataset,ElasticNet,LASSO,LogisticRegression,MLP,RandomForest,SVM,XGBoost
HER2,PC_90,0.5912606998229831,0.5912606998229831,0.5912606998229831,0.5523573963157853,0.5727345473944567,0.4702587356628435,0.6043955155718292
HER2,PC_90_with_clin,0.6030776020845534,0.6030776020845534,0.6157410943905482,0.5030555343365671,0.5806279123061646,0.4452168156239656,0.6026532223155857
HER2,VARS_IN_PC1,0.48539812636905194,0.48539812636905194,0.48539812636905194,0.4970173864545697,0.5464649158967644,0.497983300597331,0.5612001584260853
HER2,VARS_IN_PC1_with_clin,0.613593732759572,0.613593732759572,0.6143576163437137,0.5,0.5762143627089009,0.4969996350333986,0.569458236786936
HER2,VARS_IN_PC_1_3,0.5882771905401687,0.5882771905401687,0.5882852841672468,0.49707415381128894,0.5423053887369086,0.4827929488320896,0.559099664923839
HER2,VARS_IN_PC_1_3_with_clin,0.6146098929117797,0.6146098929117797,0.6146098929117797,0.5407360190379059,0.5803331633520313,0.4988101308856026,0.5891041985381609
HER2,VARS_IN_PC_90,0.5903753110032336,0.5903753110032336,0.5896621309495831,0.5194989910123103,0.5794952630256665,0.4954737379549562,0.5866797416343169
HER2,VARS_IN_PC_90_with_clin,0.6161394371111735,0.6161394371111735,0.6229649109369282,0.5028765712632233,0.5871013863711798,0.47265129658470995,0.6035097573637671
PR,ALL_IMG,0.614368834682027,0.614368834682027,0.6114537907231641,0.5880139222499474,0.6546489121055945,0.5040868916303258,0.649407663067559
PR,ALL_IMG_with_clin,0.5984335541485195,0.5984335541485195,0.6021300735643962,0.5551610974880747,0.6357098415254547,0.5007929827129769,0.6492210469811759
PR,CL_UNCORR,0.5863377719736014,0.5863377719736014,0.5867983489191018,0.5615220027518014,0.646346866910753,0.5189769361721975,0.6722266271775378
PR,CL_UNCORR_with_clin,0.5853798387195158,0.5853798387195158,0.5819029145164636,0.5008570313167173,0.6415382644658347,0.5369529944247216,0.6541802388707927
PR,PC1,0.6108736942070274,0.6129433502621908,0.6127265783062885,0.6159368677484619,0.5811552913002189,0.5952093397745571,0.5964790040876998
PR,PC1_3,0.6108736942070274,0.6129433502621908,0.6127265783062885,0.6167420207275279,0.5888094058383914,0.5952093397745571,0.5964790040876998
PR,PC1_3_with_clin,0.6008246262397801,0.6008246262397801,0.602361331306037,0.4997240424000736,0.6119873817034699,0.49532224813458076,0.6203202190345812
PR,PC1_with_clin,0.6012575009063312,0.6012575009063312,0.5982003235738133,0.5010551319997186,0.5864369545102834,0.48107526067171325,0.5739214657136209
PR,PC_90,0.636354721499649,0.6363082703662414,0.6346257070894752,0.5831320450885669,0.613856889219208,0.629743176844626,0.6115601387340518
PR,PC_90_with_clin,0.6219110334341571,0.6219110334341571,0.6184750907684067,0.49902603200025963,0.6283662768991023,0.49317410760182023,0.6392747184961933
PR,VARS_IN_PC1,0.49967484206614643,0.49967484206614643,0.49916387959866226,0.5000232255667039,0.5695115405260333,0.49991225897022995,0.5537388001156117
PR,VARS_IN_PC1_with_clin,0.5513145862529828,0.5513145862529828,0.5509249990530867,0.5019479359994805,0.5749603649133439,0.5082110913311436,0.5494369923868169
PR,VARS_IN_PC_1_3,0.5956945219926795,0.5956945219926795,0.6014330913828402,0.49510412143019633,0.5822011291023017,0.4876284715759869,0.5869987799077693
