,feature,importance_mean,importance_std,dataset,model
285,Peak_location_of_enhancement_variance_dynamics_Tumor,0.0,0.0,CL_UNCORR,SVM
286,Grouping_based_mean_of_peak_enhancement_slope_2D_tumorSlice_Group_3,0.0,0.0,CL_UNCORR,SVM
287,Grouping_based_mean_of_washout_slope_2D_tumorSlice_Group_2,0.0,0.0,CL_UNCORR,SVM
288,Grouping_based_mean_of_peak_enhancement_slope_2D_tumorSlice_Group_1,0.0,0.0,CL_UNCORR,SVM
289,Grouping_based_variance_of_peak_enhancement_slope_2D_tumorSlice_Group_1,0.0,0.0,CL_UNCORR,SVM
290,Grouping_based_variance_of_peak_enhancement_slope_3D_tumor_Group_1,0.0,0.0,CL_UNCORR,SVM
291,Ratio_Tissue_vol_enhancing_more_than_100percent_from_PostCon_to_Tissue_Vol,0.0,0.0,CL_UNCORR,SVM
292,SER_Washout_tumor_vol_cu_mm,0.0,0.0,CL_UNCORR,SVM
293,PE_map_inverse_difference_moment_normalized_tumor,0.0,0.0,CL_UNCORR,SVM
294,WashinRate_map_std_dev_tissue_PostCon,0.0,0.0,CL_UNCORR,SVM
295,PC1_Tumor_Enhancement_Texture,0.02255965292841645,0.006034892730257507,PC1,SVM
