feature_1,feature_2,correlation,group
Ratio_Tissue_vol_enhancing_more_than_30percent_from_T1_to_Tissue_Vol,Ratio_Tissue_vol_enhancing_more_than_60percent_from_T1_to_Tissue_Vol,0.9315824579046089,FGT Enhancement
Ratio_Tissue_vol_enhancing_more_than_30percent_from_T1_to_Tissue_Vol,Ratio_Tissue_vol_enhancing_more_than_70percent_from_T1_to_Tissue_Vol,0.900993365676752,FGT Enhancement
Ratio_Tissue_vol_enhancing_more_than_40percent_from_T1_to_Tissue_Vol,Ratio_Tissue_vol_enhancing_more_than_50percent_from_T1_to_Tissue_Vol,0.9925132724344607,FGT Enhancement
Ratio_Tissue_vol_enhancing_more_than_40percent_from_T1_to_Tissue_Vol,Ratio_Tissue_vol_enhancing_more_than_60percent_from_T1_to_Tissue_Vol,0.976700676268316,FGT Enhancement
Ratio_Tissue_vol_enhancing_more_than_40percent_from_T1_to_Tissue_Vol,Ratio_Tissue_vol_enhancing_more_than_70percent_from_T1_to_Tissue_Vol,0.9566791897679472,FGT Enhancement
Ratio_Tissue_vol_enhancing_more_than_40percent_from_T1_to_Tissue_Vol,Ratio_Tissue_vol_enhancing_more_than_80percent_from_T1_to_Tissue_Vol,0.9348016316423823,FGT Enhancement
Ratio_Tissue_vol_enhancing_more_than_40percent_from_T1_to_Tissue_Vol,Ratio_Tissue_vol_enhancing_more_than_90percent_from_T1_to_Tissue_Vol,0.9128038933507372,FGT Enhancement
Ratio_Tissue_vol_enhancing_more_than_50percent_from_T1_to_Tissue_Vol,Ratio_Tissue_vol_enhancing_more_than_60percent_from_T1_to_Tissue_Vol,0.9954887367648095,FGT Enhancement
Ratio_Tissue_vol_enhancing_more_than_50percent_from_T1_to_Tissue_Vol,Ratio_Tissue_vol_enhancing_more_than_70percent_from_T1_to_Tissue_Vol,0.984652582679148,FGT Enhancement
Ratio_Tissue_vol_enhancing_more_than_50percent_from_T1_to_Tissue_Vol,Ratio_Tissue_vol_enhancing_more_than_80percent_from_T1_to_Tissue_Vol,0.9702606297524665,FGT Enhancement
Ratio_Tissue_vol_enhancing_more_than_50percent_from_T1_to_Tissue_Vol,Ratio_Tissue_vol_enhancing_more_than_90percent_from_T1_to_Tissue_Vol,0.95423913209001,FGT Enhancement
Ratio_Tissue_vol_enhancing_more_than_50percent_from_T1_to_Tissue_Vol,Ratio_Tissue_vol_enhancing_more_than_100percent_from_T1_to_Tissue_Vol,0.9372177128420794,FGT Enhancement
Ratio_Tissue_vol_enhancing_more_than_60percent_from_T1_to_Tissue_Vol,Ratio_Tissue_vol_enhancing_more_than_70percent_from_T1_to_Tissue_Vol,0.996725177592927,FGT Enhancement
Ratio_Tissue_vol_enhancing_more_than_60percent_from_T1_to_Tissue_Vol,Ratio_Tissue_vol_enhancing_more_than_80percent_from_T1_to_Tissue_Vol,0.9886411161464446,FGT Enhancement
Ratio_Tissue_vol_enhancing_more_than_60percent_from_T1_to_Tissue_Vol,Ratio_Tissue_vol_enhancing_more_than_90percent_from_T1_to_Tissue_Vol,0.977815466220084,FGT Enhancement
Ratio_Tissue_vol_enhancing_more_than_60percent_from_T1_to_Tissue_Vol,Ratio_Tissue_vol_enhancing_more_than_100percent_from_T1_to_Tissue_Vol,0.9650703638599956,FGT Enhancement
Ratio_Tissue_vol_enhancing_more_than_60percent_from_T1_to_Tissue_Vol,PE_map_mean_tissue_T1,0.903476155323085,FGT Enhancement
Ratio_Tissue_vol_enhancing_more_than_70percent_from_T1_to_Tissue_Vol,Ratio_Tissue_vol_enhancing_more_than_80percent_from_T1_to_Tissue_Vol,0.9975286490802779,FGT Enhancement
Ratio_Tissue_vol_enhancing_more_than_70percent_from_T1_to_Tissue_Vol,Ratio_Tissue_vol_enhancing_more_than_90percent_from_T1_to_Tissue_Vol,0.9914239598622083,FGT Enhancement
